voice,tmean,Time_s,F0_Hz
40,246.165140748091,248.255198,115.594257
40,246.165140748091,248.265198,119.436906
40,246.165140748091,248.275198,118.266338
40,246.165140748091,248.285198,163.345179
40,246.165140748091,248.295198,167.95275
40,246.165140748091,248.445198,116.011498
40,246.165140748091,248.455198,112.692563
40,246.165140748091,248.465198,111.564543
40,246.165140748091,248.475198,112.046304
40,246.165140748091,248.485198,111.814695
40,246.165140748091,248.495198,111.384626
40,246.165140748091,248.505198,111.604196
40,246.165140748091,248.515198,111.571664
40,246.165140748091,248.525198,110.986838
40,246.165140748091,248.535198,108.525109
40,246.165140748091,248.545198,105.141929
40,246.165140748091,248.555198,104.590741
40,246.165140748091,248.565198,105.455465
40,246.165140748091,248.575198,106.185698
40,246.165140748091,248.585198,107.305866
40,246.165140748091,248.595198,107.681818
40,246.165140748091,248.605198,107.737838
40,246.165140748091,248.615198,107.512529
40,246.165140748091,248.625198,106.892331
40,246.165140748091,248.635198,105.352964
40,246.165140748091,248.645198,101.838975
40,246.165140748091,248.655198,100.30235
40,246.165140748091,248.665198,99.507588
40,246.165140748091,248.675198,101.308822
40,246.165140748091,248.685198,102.686249
40,246.165140748091,248.695198,102.914245
40,246.165140748091,248.705198,103.174024
40,246.165140748091,248.715198,103.110729
40,246.165140748091,248.725198,102.171432
40,246.165140748091,248.735198,101.330817
40,246.165140748091,248.745198,100.76056
40,246.165140748091,248.755198,99.860937
40,246.165140748091,248.765198,99.211312
40,246.165140748091,248.775198,100.434406
40,246.165140748091,248.935198,136.992608
40,246.165140748091,248.945198,118.666272
40,246.165140748091,248.955198,117.780038
40,246.165140748091,248.965198,115.520475
40,246.165140748091,248.975198,114.088698
40,246.165140748091,248.985198,113.028074
40,246.165140748091,248.995198,112.239323
40,246.165140748091,249.005198,112.286692
40,246.165140748091,249.015198,112.631563
40,246.165140748091,249.025198,113.409108
40,246.165140748091,249.035198,113.292197
40,246.165140748091,249.045198,112.340992
40,246.165140748091,249.215198,100.909632
40,246.165140748091,249.435198,117.034562
40,246.165140748091,249.445198,116.343377
40,246.165140748091,249.455198,115.693137
40,246.165140748091,249.465198,115.372576
40,246.165140748091,249.475198,116.387408
40,246.165140748091,249.485198,117.680549
40,246.165140748091,249.495198,114.395858
40,246.165140748091,249.655198,111.565758
40,246.165140748091,249.665198,116.948363
40,246.165140748091,249.675198,117.022082
40,246.165140748091,249.685198,115.966866
40,246.165140748091,249.695198,102.030337
40,246.165140748091,249.705198,102.53354
40,246.165140748091,249.715198,102.71016
40,246.165140748091,249.725198,101.685732
40,246.165140748091,249.735198,101.084802
40,246.165140748091,249.745198,99.784405
40,246.165140748091,249.755198,98.772993
40,246.165140748091,249.765198,102.664095
40,246.165140748091,249.775198,105.870314
40,246.165140748091,249.785198,110.302296
40,246.165140748091,249.795198,110.944333
40,246.165140748091,249.805198,112.001857
40,246.165140748091,249.815198,113.758033
40,246.165140748091,249.825198,115.597886
40,246.165140748091,249.835198,116.270944
40,246.165140748091,249.845198,118.282072
40,246.165140748091,249.855198,119.244043
40,246.165140748091,249.865198,119.290851
